#TH	FDR	1-NPV
0.395   0.171   0.129
0.396   0.171   0.129
0.397   0.171   0.129
0.398   0.170   0.129
0.399   0.170   0.129
0.400   0.169   0.129
0.401   0.169   0.130
0.402   0.169   0.130
0.403   0.169   0.130
0.404   0.168   0.130
0.405   0.168   0.131
0.406   0.168   0.131
0.407   0.168   0.131
0.408   0.167   0.131
0.409   0.167   0.131
0.410   0.167   0.132
0.411   0.167   0.132
0.412   0.166   0.132
0.413   0.166   0.132
0.414   0.166   0.133
0.415   0.166   0.133
0.416   0.165   0.133
0.417   0.165   0.133
0.418   0.165   0.134
0.419   0.164   0.134
0.420   0.164   0.134
0.421   0.164   0.134
0.422   0.163   0.134
0.423   0.163   0.135
0.424   0.163   0.135
0.425   0.163   0.135
0.426   0.162   0.135
0.427   0.162   0.136
0.428   0.162   0.136
0.429   0.162   0.136
0.430   0.161   0.136
0.431   0.161   0.136
0.432   0.161   0.137
0.433   0.160   0.137
0.434   0.160   0.137
0.435   0.160   0.137
0.436   0.160   0.137
0.437   0.159   0.138
0.438   0.159   0.138
0.439   0.159   0.138
0.440   0.159   0.138
0.441   0.158   0.139
0.442   0.158   0.139
0.443   0.158   0.139
0.444   0.157   0.139
0.445   0.157   0.139
0.446   0.157   0.140
0.447   0.157   0.140
0.448   0.157   0.140
0.449   0.156   0.141
0.450   0.156   0.141
0.451   0.156   0.141
0.452   0.156   0.141
0.453   0.155   0.142
0.454   0.155   0.142
0.455   0.155   0.142
0.456   0.155   0.142
0.457   0.154   0.142
0.458   0.154   0.142
0.459   0.153   0.143
0.460   0.153   0.143
0.461   0.153   0.143
0.462   0.153   0.144
0.463   0.153   0.144
0.464   0.153   0.144
0.465   0.152   0.144
0.466   0.152   0.144
0.467   0.152   0.145
0.468   0.151   0.145
0.469   0.151   0.145
0.470   0.151   0.145
0.471   0.151   0.146
0.472   0.150   0.146
0.473   0.150   0.146
0.474   0.150   0.147
0.475   0.150   0.147
0.476   0.149   0.147
0.477   0.149   0.147
0.478   0.149   0.147
0.479   0.149   0.148
0.480   0.149   0.148
0.481   0.148   0.148
0.482   0.148   0.149
0.483   0.148   0.149
0.484   0.147   0.149
0.485   0.147   0.149
0.486   0.147   0.149
0.487   0.147   0.150
0.488   0.146   0.150
0.489   0.146   0.150
0.490   0.146   0.150
0.491   0.146   0.150
0.492   0.146   0.150
0.493   0.145   0.151
0.494   0.145   0.151
0.495   0.145   0.151
0.496   0.145   0.152
0.497   0.145   0.152
0.498   0.144   0.152
0.499   0.144   0.152
0.500   0.144   0.153
0.501   0.144   0.153
0.502   0.143   0.153
0.503   0.143   0.153
0.504   0.143   0.154
0.505   0.143   0.154
0.506   0.142   0.154
0.507   0.142   0.155
0.508   0.142   0.155
0.509   0.142   0.155
0.510   0.142   0.155
0.511   0.141   0.156
0.512   0.141   0.156
0.513   0.141   0.156
0.514   0.141   0.156
0.515   0.141   0.156
0.516   0.141   0.157
0.517   0.140   0.157
0.518   0.140   0.157
0.519   0.140   0.157
0.520   0.139   0.158
0.521   0.139   0.158
0.522   0.139   0.158
0.523   0.139   0.158
0.524   0.139   0.159
0.525   0.138   0.159
0.526   0.138   0.159
0.527   0.138   0.159
0.528   0.138   0.160
0.529   0.137   0.160
0.530   0.137   0.160
0.531   0.137   0.161
0.532   0.137   0.161
0.533   0.137   0.161
0.534   0.136   0.161
0.535   0.136   0.162
0.536   0.136   0.162
0.537   0.136   0.162
0.538   0.136   0.162
0.539   0.135   0.163
0.540   0.135   0.163
0.541   0.135   0.163
0.542   0.135   0.163
0.543   0.134   0.164
0.544   0.134   0.164
0.545   0.134   0.164
0.546   0.134   0.165
0.547   0.134   0.165
0.548   0.133   0.165
0.549   0.133   0.165
0.550   0.133   0.165
0.551   0.133   0.166
0.552   0.133   0.166
0.553   0.132   0.166
0.554   0.132   0.166
0.555   0.132   0.166
0.556   0.132   0.167
0.557   0.131   0.167
0.558   0.131   0.167
0.559   0.131   0.167
0.560   0.131   0.168
0.561   0.130   0.168
0.562   0.130   0.168
0.563   0.130   0.168
0.564   0.130   0.169
0.565   0.130   0.169
0.566   0.129   0.169
0.567   0.129   0.169
0.568   0.129   0.170
0.569   0.129   0.170
0.570   0.129   0.170
0.571   0.129   0.170
0.572   0.128   0.171
0.573   0.128   0.171
0.574   0.128   0.171
0.575   0.128   0.172
0.576   0.128   0.172
0.577   0.127   0.173
0.578   0.127   0.172
0.579   0.127   0.173
0.580   0.127   0.173
0.581   0.127   0.174
0.582   0.126   0.174
0.583   0.126   0.174
0.584   0.126   0.174
0.585   0.126   0.175
0.586   0.126   0.175
0.587   0.126   0.175
0.588   0.126   0.176
0.589   0.125   0.176
0.590   0.125   0.176
0.591   0.125   0.176
0.592   0.125   0.177
0.593   0.124   0.177
0.594   0.124   0.177
0.595   0.124   0.178
0.596   0.124   0.178
0.597   0.124   0.178
0.598   0.123   0.178
0.599   0.123   0.179
0.600   0.123   0.179
0.601   0.123   0.179
0.602   0.123   0.179
0.603   0.122   0.180
0.604   0.122   0.180
0.605   0.122   0.180
0.606   0.122   0.180
0.607   0.122   0.181
0.608   0.122   0.181
0.609   0.121   0.181
0.610   0.121   0.181
0.611   0.121   0.182
0.612   0.121   0.182
0.613   0.120   0.182
0.614   0.120   0.183
0.615   0.120   0.183
0.616   0.120   0.183
0.617   0.120   0.183
0.618   0.119   0.184
0.619   0.119   0.184
0.620   0.119   0.184
0.621   0.119   0.184
0.622   0.119   0.185
0.623   0.118   0.185
0.624   0.118   0.185
0.625   0.118   0.186
0.626   0.118   0.186
0.627   0.118   0.186
0.628   0.117   0.186
0.629   0.117   0.187
0.630   0.117   0.187
0.631   0.117   0.187
0.632   0.116   0.188
0.633   0.116   0.188
0.634   0.116   0.188
0.635   0.116   0.188
0.636   0.116   0.189
0.637   0.115   0.189
0.638   0.115   0.189
0.639   0.115   0.189
0.640   0.114   0.190
0.641   0.114   0.190
0.642   0.114   0.190
0.643   0.114   0.191
0.644   0.114   0.191
0.645   0.114   0.191
0.646   0.113   0.192
0.647   0.113   0.192
0.648   0.113   0.192
0.649   0.113   0.192
0.650   0.113   0.193
0.651   0.112   0.193
0.652   0.112   0.193
0.653   0.112   0.194
0.654   0.112   0.194
0.655   0.111   0.194
0.656   0.111   0.195
0.657   0.111   0.195
0.658   0.111   0.195
0.659   0.110   0.195
0.660   0.110   0.196
0.661   0.110   0.196
0.662   0.110   0.196
0.663   0.110   0.197
0.664   0.110   0.197
0.665   0.110   0.197
0.666   0.109   0.198
0.667   0.109   0.198
0.668   0.109   0.199
0.669   0.109   0.199
0.670   0.108   0.199
0.671   0.108   0.200
0.672   0.108   0.200
