#TH	SFDR	SCNPV
0.422	0.1250	0.0942
0.423	0.1246	0.0942
0.424	0.1244	0.0942
0.425	0.1242	0.0946
0.426	0.1240	0.0950
0.427	0.1240	0.0952
0.428	0.1236	0.0952
0.429	0.1234	0.0952
0.430	0.1232	0.0954
0.431	0.1230	0.0956
0.432	0.1230	0.0962
0.433	0.1226	0.0962
0.434	0.1224	0.0962
0.435	0.1222	0.0962
0.436	0.1220	0.0964
0.437	0.1218	0.0968
0.438	0.1216	0.0972
0.439	0.1214	0.0972
0.440	0.1212	0.0972
0.441	0.1208	0.0972
0.442	0.1206	0.0976
0.443	0.1204	0.0980
0.444	0.1204	0.0982
0.445	0.1200	0.0982
0.446	0.1198	0.0982
0.447	0.1198	0.0988
0.448	0.1196	0.0990
0.449	0.1192	0.0992
0.450	0.1190	0.0992
0.451	0.1188	0.0992
0.452	0.1188	0.0998
0.453	0.1188	0.1000
0.454	0.1184	0.1002
0.455	0.1180	0.1002
0.456	0.1178	0.1002
0.457	0.1178	0.1004
0.458	0.1176	0.1008
0.459	0.1174	0.1010
0.460	0.1170	0.1012
0.461	0.1168	0.1012
0.462	0.1168	0.1012
0.463	0.1166	0.1016
0.464	0.1166	0.1018
0.465	0.1162	0.1018
0.466	0.1158	0.1022
0.467	0.1158	0.1022
0.468	0.1158	0.1026
0.469	0.1154	0.1026
0.470	0.1152	0.1028
0.471	0.1150	0.1030
0.472	0.1148	0.1034
0.473	0.1146	0.1036
0.474	0.1146	0.1036
0.475	0.1144	0.1038
0.476	0.1140	0.1038
0.477	0.1138	0.1044
0.478	0.1136	0.1046
0.479	0.1136	0.1046
0.480	0.1132	0.1048
0.481	0.1130	0.1048
0.482	0.1128	0.1050
0.483	0.1126	0.1054
0.484	0.1124	0.1056
0.485	0.1120	0.1058
0.486	0.1118	0.1058
0.487	0.1118	0.1060
0.488	0.1116	0.1062
0.489	0.1114	0.1064
0.490	0.1112	0.1066
0.491	0.1112	0.1070
0.492	0.1110	0.1070
0.493	0.1108	0.1070
0.494	0.1106	0.1074
0.495	0.1104	0.1076
0.496	0.1102	0.1080
0.497	0.1100	0.1080
0.498	0.1098	0.1080
0.499	0.1098	0.1086
0.500	0.1096	0.1086
0.501	0.1094	0.1090
0.502	0.1094	0.1090
0.503	0.1088	0.1090
0.504	0.1088	0.1094
0.505	0.1086	0.1096
0.506	0.1086	0.1098
0.507	0.1084	0.1100
0.508	0.1084	0.1100
0.509	0.1078	0.1102
0.510	0.1076	0.1104
0.511	0.1076	0.1108
0.512	0.1076	0.1110
0.513	0.1076	0.1110
0.514	0.1072	0.1114
0.515	0.1066	0.1114
0.516	0.1066	0.1116
0.517	0.1066	0.1118
0.518	0.1064	0.1120
0.519	0.1064	0.1124
0.520	0.1056	0.1124
0.521	0.1056	0.1128
0.522	0.1056	0.1128
0.523	0.1056	0.1132
0.524	0.1054	0.1134
0.525	0.1050	0.1134
0.526	0.1048	0.1138
0.527	0.1046	0.1138
0.528	0.1046	0.1142
0.529	0.1044	0.1144
0.530	0.1042	0.1144
0.531	0.1040	0.1144
0.532	0.1038	0.1148
0.533	0.1038	0.1150
0.534	0.1036	0.1152
0.535	0.1032	0.1154
0.536	0.1032	0.1154
0.537	0.1028	0.1158
0.538	0.1028	0.1160
0.539	0.1028	0.1162
0.540	0.1026	0.1164
0.541	0.1022	0.1166
0.542	0.1022	0.1166
0.543	0.1020	0.1170
0.544	0.1018	0.1174
0.545	0.1014	0.1174
0.546	0.1012	0.1174
0.547	0.1012	0.1176
0.548	0.1012	0.1178
0.549	0.1008	0.1180
0.550	0.1008	0.1184
0.551	0.1002	0.1186
0.552	0.1002	0.1186
0.553	0.1002	0.1188
0.554	0.1000	0.1192
0.555	0.0998	0.1196
0.556	0.0998	0.1196
0.557	0.0994	0.1196
0.558	0.0992	0.1200
0.559	0.0992	0.1202
0.560	0.0990	0.1206
0.561	0.0988	0.1206
0.562	0.0988	0.1206
0.563	0.0982	0.1210
0.564	0.0982	0.1214
0.565	0.0982	0.1216
0.566	0.0980	0.1216
0.567	0.0980	0.1220
0.568	0.0976	0.1222
0.569	0.0976	0.1226
0.570	0.0972	0.1226
0.571	0.0972	0.1228
0.572	0.0970	0.1230
0.573	0.0970	0.1234
0.574	0.0966	0.1236
0.575	0.0964	0.1238
0.576	0.0962	0.1240
0.577	0.0962	0.1242
0.578	0.0962	0.1244
0.579	0.0958	0.1244
0.580	0.0958	0.1248
0.581	0.0954	0.1252
0.582	0.0952	0.1254
0.583	0.0952	0.1254
0.584	0.0952	0.1256
0.585	0.0948	0.1260
0.586	0.0946	0.1262
0.587	0.0942	0.1264
0.588	0.0942	0.1264
0.589	0.0942	0.1266
0.590	0.0940	0.1268
0.591	0.0940	0.1274
0.592	0.0936	0.1274
0.593	0.0934	0.1276
0.594	0.0934	0.1276
0.595	0.0934	0.1284
0.596	0.0932	0.1284
0.597	0.0932	0.1286
0.598	0.0926	0.1288
0.599	0.0924	0.1290
0.600	0.0924	0.1292
0.601	0.0922	0.1294
0.602	0.0920	0.1298
0.603	0.0920	0.1300
0.604	0.0916	0.1304
0.605	0.0912	0.1304
0.606	0.0912	0.1304
0.607	0.0912	0.1308
0.608	0.0912	0.1310
0.609	0.0906	0.1312
0.610	0.0906	0.1318
0.611	0.0904	0.1318
0.612	0.0902	0.1320
0.613	0.0902	0.1322
0.614	0.0902	0.1326
0.615	0.0898	0.1328
0.616	0.0894	0.1330
0.617	0.0892	0.1330
0.618	0.0892	0.1334
0.619	0.0892	0.1338
0.620	0.0890	0.1340
0.621	0.0890	0.1340
0.622	0.0888	0.1342
0.623	0.0884	0.1348
0.624	0.0884	0.1350
0.625	0.0882	0.1350
0.626	0.0880	0.1350
0.627	0.0880	0.1358
0.628	0.0878	0.1360
0.629	0.0878	0.1360
0.630	0.0872	0.1360
0.631	0.0870	0.1362
0.632	0.0870	0.1370
0.633	0.0870	0.1370
0.634	0.0870	0.1370
0.635	0.0866	0.1376
0.636	0.0860	0.1380
0.637	0.0860	0.1380
0.638	0.0860	0.1382
0.639	0.0860	0.1386
0.640	0.0860	0.1386
0.641	0.0860	0.1390
0.642	0.0850	0.1394
0.643	0.0850	0.1396
0.644	0.0850	0.1398
0.645	0.0850	0.1402
0.646	0.0850	0.1404
0.647	0.0848	0.1406
0.648	0.0840	0.1410
0.649	0.0840	0.1412
0.650	0.0838	0.1412
0.651	0.0838	0.1416
0.652	0.0838	0.1422
0.653	0.0838	0.1424
0.654	0.0836	0.1424
0.655	0.0830	0.1426
0.656	0.0828	0.1432
0.657	0.0828	0.1434
0.658	0.0828	0.1436
0.659	0.0826	0.1438
0.660	0.0822	0.1442
0.661	0.0820	0.1444
0.662	0.0820	0.1448
0.663	0.0818	0.1450
0.664	0.0818	0.1454
0.665	0.0814	0.1456
0.666	0.0812	0.1458
0.667	0.0810	0.1460
0.668	0.0810	0.1462
0.669	0.0808	0.1466
0.670	0.0808	0.1470
0.671	0.0804	0.1472
0.672	0.0800	0.1472
0.673	0.0800	0.1476
0.674	0.0798	0.1482
0.675	0.0798	0.1482
0.676	0.0798	0.1484
0.677	0.0796	0.1486
0.678	0.0792	0.1492
0.679	0.0790	0.1494
0.680	0.0788	0.1496
0.681	0.0788	0.1500
0.682	0.0786	0.1502
0.683	0.0784	0.1506
0.684	0.0782	0.1506
0.685	0.0780	0.1510
0.686	0.0778	0.1514
0.687	0.0778	0.1516
0.688	0.0774	0.1520
0.689	0.0774	0.1524
0.690	0.0772	0.1524
0.691	0.0772	0.1530
0.692	0.0768	0.1534
0.693	0.0768	0.1534
0.694	0.0768	0.1538
0.695	0.0764	0.1542
0.696	0.0764	0.1544
0.697	0.0764	0.1550
0.698	0.0762	0.1552
0.699	0.0762	0.1552
0.700	0.0756	0.1558
0.701	0.0756	0.1562
0.702	0.0754	0.1562
0.703	0.0752	0.1564
0.704	0.0752	0.1572
0.705	0.0750	0.1572
0.706	0.0750	0.1574
0.707	0.0744	0.1582
0.708	0.0744	0.1582
0.709	0.0744	0.1584
0.710	0.0742	0.1590
0.711	0.0742	0.1592
0.712	0.0738	0.1596
0.713	0.0738	0.1598
0.714	0.0734	0.1602
0.715	0.0734	0.1604
0.716	0.0734	0.1608
0.717	0.0730	0.1614
0.718	0.0728	0.1616
0.719	0.0728	0.1616
0.720	0.0726	0.1622
0.721	0.0726	0.1626
0.722	0.0724	0.1630
0.723	0.0724	0.1632
0.724	0.0718	0.1634
0.725	0.0718	0.1640
0.726	0.0716	0.1642
0.727	0.0714	0.1646
0.728	0.0714	0.1650
0.729	0.0714	0.1652
0.730	0.0710	0.1656
0.731	0.0708	0.1658
0.732	0.0704	0.1662
0.733	0.0704	0.1664
0.734	0.0704	0.1670
0.735	0.0702	0.1672
0.736	0.0702	0.1676
0.737	0.0698	0.1680
0.738	0.0696	0.1684
0.739	0.0694	0.1686
0.740	0.0694	0.1690
0.741	0.0692	0.1694
0.742	0.0692	0.1696
0.743	0.0690	0.1700
0.744	0.0688	0.1704
0.745	0.0686	0.1708
0.746	0.0684	0.1710
0.747	0.0684	0.1716
0.748	0.0680	0.1718
0.749	0.0680	0.1722
0.750	0.0676	0.1724
0.751	0.0676	0.1728
0.752	0.0674	0.1732
0.753	0.0674	0.1736
0.754	0.0672	0.1740
0.755	0.0670	0.1744
0.756	0.0666	0.1748
0.757	0.0666	0.1754
0.758	0.0664	0.1756
0.759	0.0662	0.1762
0.760	0.0662	0.1762
0.761	0.0656	0.1768
0.762	0.0656	0.1772
0.763	0.0656	0.1774
0.764	0.0654	0.1780
0.765	0.0652	0.1782
0.766	0.0652	0.1786
0.767	0.0648	0.1792
0.768	0.0646	0.1792
0.769	0.0644	0.1800
0.770	0.0644	0.1802
0.771	0.0642	0.1808
0.772	0.0640	0.1812
0.773	0.0638	0.1812
0.774	0.0636	0.1820
0.775	0.0634	0.1822
0.776	0.0634	0.1828
0.777	0.0634	0.1832
0.778	0.0632	0.1836
0.779	0.0630	0.1842
0.780	0.0626	0.1844
0.781	0.0626	0.1850
0.782	0.0624	0.1854
0.783	0.0624	0.1858
0.784	0.0622	0.1860
0.785	0.0618	0.1864
0.786	0.0618	0.1868
0.787	0.0618	0.1874
0.788	0.0616	0.1876
0.789	0.0614	0.1884
0.790	0.0612	0.1886
0.791	0.0608	0.1894
0.792	0.0608	0.1896
0.793	0.0606	0.1902
0.794	0.0606	0.1904
0.795	0.0604	0.1912
0.796	0.0600	0.1914
0.797	0.0598	0.1916
0.798	0.0596	0.1922
0.799	0.0594	0.1926
0.800	0.0592	0.1932
0.801	0.0590	0.1936
0.802	0.0588	0.1942
0.803	0.0588	0.1946
0.804	0.0588	0.1948
0.805	0.0586	0.1956
0.806	0.0584	0.1958
0.807	0.0580	0.1968
0.808	0.0578	0.1968
0.809	0.0578	0.1976
0.810	0.0578	0.1980
0.811	0.0576	0.1986
0.812	0.0570	0.1992
0.813	0.0568	0.1992
0.814	0.0568	0.2000
0.815	0.0568	0.2002
0.816	0.0564	0.2012
0.817	0.0560	0.2014
0.818	0.0558	0.2022
0.819	0.0558	0.2024
0.820	0.0558	0.2032
0.821	0.0556	0.2036
0.822	0.0554	0.2042
0.823	0.0548	0.2046
0.824	0.0548	0.2052
0.825	0.0548	0.2058
0.826	0.0548	0.2062
0.827	0.0544	0.2068
0.828	0.0542	0.2072
0.829	0.0542	0.2082
0.830	0.0540	0.2084
0.831	0.0538	0.2092
0.832	0.0538	0.2096
0.833	0.0536	0.2102
0.834	0.0534	0.2112
0.835	0.0530	0.2114
0.836	0.0530	0.2122
0.837	0.0526	0.2126
0.838	0.0526	0.2132
0.839	0.0522	0.2142
0.840	0.0522	0.2144
0.841	0.0518	0.2152
0.842	0.0516	0.2156
0.843	0.0516	0.2162
0.844	0.0514	0.2170
0.845	0.0512	0.2176
0.846	0.0510	0.2180
0.847	0.0508	0.2190
0.848	0.0504	0.2194
0.849	0.0502	0.2202
0.850	0.0500	0.2208
0.851	0.0500	0.2214
0.852	0.0498	0.2218
0.853	0.0496	0.2228
0.854	0.0490	0.2232
0.855	0.0488	0.2240
0.856	0.0488	0.2248
0.857	0.0488	0.2254
0.858	0.0484	0.2262
0.859	0.0478	0.2270
0.860	0.0478	0.2274
0.861	0.0478	0.2282
0.862	0.0474	0.2292
0.863	0.0474	0.2298
0.864	0.0472	0.2306
0.865	0.0468	0.2314
0.866	0.0468	0.2322
0.867	0.0464	0.2328
0.868	0.0462	0.2334
0.869	0.0458	0.2344
0.870	0.0458	0.2350
0.871	0.0454	0.2358
0.872	0.0454	0.2366
0.873	0.0452	0.2374
0.874	0.0448	0.2378
0.875	0.0448	0.2388
0.876	0.0446	0.2398
0.877	0.0440	0.2408
0.878	0.0438	0.2414
0.879	0.0438	0.2422
0.880	0.0436	0.2430
0.881	0.0434	0.2440
0.882	0.0432	0.2450
0.883	0.0430	0.2458
0.884	0.0428	0.2466
0.885	0.0426	0.2474
0.886	0.0426	0.2484
0.887	0.0422	0.2490
0.888	0.0420	0.2500
0.889	0.0418	0.2510
0.890	0.0418	0.2520
0.891	0.0416	0.2530
0.892	0.0410	0.2540
0.893	0.0408	0.2548
0.894	0.0408	0.2556
0.895	0.0406	0.2566
0.896	0.0402	0.2578
0.897	0.0400	0.2590
0.898	0.0396	0.2600
0.899	0.0392	0.2610
0.900	0.0392	0.2620
0.901	0.0392	0.2628
0.902	0.0386	0.2640
0.903	0.0382	0.2650
0.904	0.0382	0.2660
0.905	0.0380	0.2670
0.906	0.0376	0.2684
0.907	0.0374	0.2696
0.908	0.0372	0.2706
0.909	0.0372	0.2720
0.910	0.0368	0.2732
0.911	0.0366	0.2744
0.912	0.0362	0.2756
0.913	0.0362	0.2770
0.914	0.0360	0.2782
0.915	0.0356	0.2794
0.916	0.0354	0.2804
0.917	0.0352	0.2822
0.918	0.0350	0.2834
0.919	0.0348	0.2844
0.920	0.0344	0.2860
0.921	0.0344	0.2874
0.922	0.0338	0.2886
0.923	0.0336	0.2900
0.924	0.0334	0.2916
0.925	0.0332	0.2928
0.926	0.0326	0.2940
0.927	0.0324	0.2958
0.928	0.0322	0.2972
0.929	0.0318	0.2986
0.930	0.0314	0.3002
0.931	0.0312	0.3018
0.932	0.0310	0.3032
0.933	0.0304	0.3048
0.934	0.0304	0.3062
0.935	0.0298	0.3082
0.936	0.0298	0.3096
0.937	0.0296	0.3112
0.938	0.0290	0.3130
0.939	0.0288	0.3148
0.940	0.0286	0.3166
0.941	0.0282	0.3186
0.942	0.0280	0.3200
0.943	0.0278	0.3220
0.944	0.0274	0.3240
0.945	0.0272	0.3258
0.946	0.0268	0.3276
0.947	0.0264	0.3296
0.948	0.0260	0.3316
0.949	0.0258	0.3338
0.950	0.0254	0.3358
0.951	0.0252	0.3382
0.952	0.0248	0.3402
0.953	0.0244	0.3422
0.954	0.0240	0.3442
0.955	0.0234	0.3468
0.956	0.0234	0.3490
0.957	0.0228	0.3512
0.958	0.0226	0.3536
0.959	0.0222	0.3560
0.960	0.0218	0.3584
0.961	0.0212	0.3612
0.962	0.0206	0.3634
0.963	0.0202	0.3662
0.964	0.0194	0.3684
0.965	0.0192	0.3714
0.966	0.0188	0.3744
0.967	0.0188	0.3770
0.968	0.0182	0.3802
0.969	0.0178	0.3828
0.970	0.0176	0.3860
0.971	0.0170	0.3888
0.972	0.0164	0.3922
0.973	0.0160	0.3954
0.974	0.0154	0.3984
0.975	0.0150	0.4016
0.976	0.0146	0.4052
0.977	0.0142	0.4084
0.978	0.0138	0.4124
0.979	0.0130	0.4156
0.980	0.0128	0.4192
0.981	0.0120	0.4230
0.982	0.0118	0.4268
0.983	0.0114	0.4308
0.984	0.0108	0.4348
0.985	0.0100	0.4388
0.986	0.0094	0.4430
0.987	0.0090	0.4478
0.988	0.0084	0.4518
0.989	0.0078	0.4564
0.990	0.0074	0.4612
0.991	0.0070	0.4660
0.992	0.0066	0.4714
0.993	0.0062	0.4762
0.994	0.0058	0.4818
0.995	0.0058	0.4868
